pygame 2.5.2 (SDL 2.28.2, Python 3.11.8)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5326381 function calls (5320367 primitive calls) in 124.085 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 encoders.py:1(<module>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
      274    0.001    0.000    0.001    0.000 version.py:444(_cmpkey)
     1917    0.000    0.000    0.001    0.000 _parser.py:164(__len__)
       78    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
      382    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      177    0.000    0.000    0.001    0.000 enum.py:686(__call__)
        2    0.000    0.000    0.001    0.000 pkgdata.py:45(getResource)
      248    0.000    0.000    0.001    0.000 <frozen posixpath>:117(splitext)
       34    0.000    0.000    0.001    0.000 typing.py:1579(copy_with)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 __init__.py:421(PercentStyle)
        1    0.000    0.000    0.001    0.001 main.py:478(setShopButtons)
      4/3    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
     1157    0.000    0.000    0.001    0.000 sysfont.py:45(<genexpr>)
     2479    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
       18    0.000    0.000    0.001    0.000 typing.py:1654(__getitem__)
      503    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
      154    0.000    0.000    0.001    0.000 <frozen genericpath>:39(isdir)
       10    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      164    0.000    0.000    0.001    0.000 enum.py:1515(__and__)
        1    0.000    0.000    0.001    0.001 __init__.py:2429(EntryPoint)
      344    0.000    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.001    0.001 sprite.py:1(<module>)
     1804    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
